CCAA;AÑO;SECTOR ;SEXO;Tasa de paro;%_inactivos;TASA_DE_ACTIVIDAD;%_ocup;%act_educ
            05 Canarias;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;16.70;0.9;80.63;3.9;2.3
            06 Cantabria;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;7.24;1.4;73.97;4.8;6.1
            07 Castilla y León;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;8.85;1.0;79.48;3.6;2.9
            08 Castilla - La Mancha;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;9.96;0.8;87.93;3.5;3.2
            09 Cataluña;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;7.11;1.2;78.63;6.2;2.8
            10 Comunitat Valenciana;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;6.48;1.2;82.29;5.0;2.7
            11 Extremadura;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;10.75;0.6;88.37;3.4;3.3
            12 Galicia;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;6.88;0.9;79.86;4.0;4.3
            13 Madrid, Comunidad de;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;6.92;2.8;79.58;8.9;4.0
            14 Murcia, Región de;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;8.06;0.6;72.76;3.0;3.1
            15 Navarra, Comunidad Foral de;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;5.57;0.3;81.97;3.4;4.0
            16 País Vasco;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;6.35;0.9;71.98;4.3;5.0
            17 Rioja, La;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;5.64;1.1;81.77;2.7;2.3
            18 Ceuta;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;41.08;0.0;69.35;4.7;..
            19 Melilla;2019;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;27.33;0.0;78.34;4.7;..
            01 Andalucía;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;8.33;0.9;72.06;3.5;1.0
            02 Aragón;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;8.79;0.9;85.38;5.1;0.6
            03 Asturias, Principado de;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;0.00;0.3;57.93;4.2;0.9
            04 Balears, Illes;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;52.18;0.4;100.00;3.6;0.2
            05 Canarias;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;27.47;0.5;80.20;4.4;0.8
            06 Cantabria;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;0.00;1.9;90.91;4.5;..
            07 Castilla y León;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;1.87;0.5;86.62;4.0;1.4
            08 Castilla - La Mancha;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;0.00;0.9;83.89;3.3;0.9
            09 Cataluña;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;6.35;1.3;92.89;4.5;0.8
            10 Comunitat Valenciana;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;15.04;1.1;74.69;3.7;1.9
            11 Extremadura;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;17.82;0.1;80.40;2.2;2.9
            12 Galicia;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;10.06;0.7;72.41;4.6;1.2
            13 Madrid, Comunidad de;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;0.00;2.0;70.17;8.8;0.7
            14 Murcia, Región de;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;23.50;0.4;78.42;3.5;0.9
            15 Navarra, Comunidad Foral de;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;0.00;1.4;71.29;2.9;1.5
            16 País Vasco;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;0.00;1.1;67.76;4.8;0.5
            17 Rioja, La;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;0.00;0.3;100.00;4.3;2.0
            18 Ceuta;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;..;1.7;..;0.0;..
            19 Melilla;2019;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;..;0.0;0.00;0.0;..
            01 Andalucía;2019;Salud y servicios sociales;Hombres;11.78;1.5;83.07;3.5;18.9
            02 Aragón;2019;Salud y servicios sociales;Hombres;5.72;0.8;80.16;3.9;16.0
            03 Asturias, Principado de;2019;Salud y servicios sociales;Hombres;0.00;1.1;80.94;7.1;20.5
            04 Balears, Illes;2019;Salud y servicios sociales;Hombres;0.00;0.2;68.05;2.0;13.2
            05 Canarias;2019;Salud y servicios sociales;Hombres;3.20;0.4;60.31;3.2;19.9
            06 Cantabria;2019;Salud y servicios sociales;Hombres;0.00;0.0;78.01;2.6;17.3
            07 Castilla y León;2019;Salud y servicios sociales;Hombres;14.01;0.6;80.03;2.7;20.6
            08 Castilla - La Mancha;2019;Salud y servicios sociales;Hombres;13.14;1.0;87.10;3.2;18.9
            09 Cataluña;2019;Salud y servicios sociales;Hombres;6.38;1.1;86.57;5.8;15.6
            10 Comunitat Valenciana;2019;Salud y servicios sociales;Hombres;5.15;1.5;80.27;3.2;17.0
            11 Extremadura;2019;Salud y servicios sociales;Hombres;18.17;0.8;76.91;2.8;17.7
            12 Galicia;2019;Salud y servicios sociales;Hombres;7.61;0.5;78.51;4.9;18.6
            13 Madrid, Comunidad de;2019;Salud y servicios sociales;Hombres;7.78;1.8;85.99;8.5;17.5
            14 Murcia, Región de;2019;Salud y servicios sociales;Hombres;4.16;0.9;80.81;2.2;18.7
            15 Navarra, Comunidad Foral de;2019;Salud y servicios sociales;Hombres;9.77;0.3;70.49;4.0;16.2
            16 País Vasco;2019;Salud y servicios sociales;Hombres;10.21;0.8;80.32;5.4;18.2
            17 Rioja, La;2019;Salud y servicios sociales;Hombres;0.00;2.6;87.69;3.2;19.9
            18 Ceuta;2019;Salud y servicios sociales;Hombres;0.00;0.0;56.35;2.6;18.2
            19 Melilla;2019;Salud y servicios sociales;Hombres;18.95;2.8;100.00;6.5;22.4
            01 Andalucía;2019;Servicios;Hombres;14.63;0.8;68.91;3.1;7.4
            02 Aragón;2019;Servicios;Hombres;13.46;1.1;75.91;2.4;6.0
            03 Asturias, Principado de;2019;Servicios;Hombres;10.98;0.5;89.39;5.2;7.6
            04 Balears, Illes;2019;Servicios;Hombres;3.97;0.8;83.00;2.9;5.6
            05 Canarias;2019;Servicios;Hombres;29.48;0.8;86.95;2.1;7.1
            06 Cantabria;2019;Servicios;Hombres;15.61;1.2;64.51;4.2;10.1
            07 Castilla y León;2019;Servicios;Hombres;6.24;0.4;88.60;3.6;7.1
            08 Castilla - La Mancha;2019;Servicios;Hombres;10.23;0.2;80.66;2.4;4.3
            09 Cataluña;2019;Servicios;Hombres;2.64;0.8;91.13;6.4;6.0
            10 Comunitat Valenciana;2019;Servicios;Hombres;16.05;1.2;95.19;3.7;5.7
            11 Extremadura;2019;Servicios;Hombres;15.97;0.5;85.31;2.4;7.7
            12 Galicia;2019;Servicios;Hombres;15.24;0.8;70.90;4.2;7.6
            13 Madrid, Comunidad de;2019;Servicios;Hombres;5.00;2.8;74.12;8.8;4.8
            14 Murcia, Región de;2019;Servicios;Hombres;0.00;0.4;76.72;1.5;4.9
            15 Navarra, Comunidad Foral de;2019;Servicios;Hombres;0.00;0.9;82.61;2.9;8.5
            16 País Vasco;2019;Servicios;Hombres;8.18;0.9;83.60;4.7;8.1
            17 Rioja, La;2019;Servicios;Hombres;0.00;0.6;83.19;1.8;6.3
            18 Ceuta;2019;Servicios;Hombres;17.19;0.0;88.66;1.5;0.2
            19 Melilla;2019;Servicios;Hombres;0.00;..;63.56;..;0.2
            01 Andalucía;2019;Sectores desconocidos o no especificados;Hombres;22.45;1.1;18.34;2.9;0.9
            02 Aragón;2019;Sectores desconocidos o no especificados;Hombres;48.52;0.6;36.29;3.4;0.4
            03 Asturias, Principado de;2019;Sectores desconocidos o no especificados;Hombres;0.00;0.6;18.08;2.7;..
            04 Balears, Illes;2019;Sectores desconocidos o no especificados;Hombres;0.00;1.0;26.00;2.9;0.5
            05 Canarias;2019;Sectores desconocidos o no especificados;Hombres;2.56;0.4;52.92;4.2;0.7
            06 Cantabria;2019;Sectores desconocidos o no especificados;Hombres;0.00;1.4;53.11;5.1;0.7
            07 Castilla y León;2019;Sectores desconocidos o no especificados;Hombres;42.54;0.7;24.49;3.1;0.5
            08 Castilla - La Mancha;2019;Sectores desconocidos o no especificados;Hombres;7.34;0.3;27.90;3.4;0.4
            09 Cataluña;2019;Sectores desconocidos o no especificados;Hombres;10.57;0.7;42.32;4.8;0.0
            10 Comunitat Valenciana;2019;Sectores desconocidos o no especificados;Hombres;0.00;1.0;18.89;3.5;0.5
            11 Extremadura;2019;Sectores desconocidos o no especificados;Hombres;57.44;0.5;12.51;2.7;0.4
            12 Galicia;2019;Sectores desconocidos o no especificados;Hombres;31.02;0.6;24.33;3.6;0.1
            13 Madrid, Comunidad de;2019;Sectores desconocidos o no especificados;Hombres;33.62;1.8;32.13;8.2;0.3
            14 Murcia, Región de;2019;Sectores desconocidos o no especificados;Hombres;23.08;0.8;38.02;2.2;0.3
            15 Navarra, Comunidad Foral de;2019;Sectores desconocidos o no especificados;Hombres;52.03;0.0;63.73;4.3;0.2
            16 País Vasco;2019;Sectores desconocidos o no especificados;Hombres;24.24;0.6;72.24;4.1;0.4
            17 Rioja, La;2019;Sectores desconocidos o no especificados;Hombres;0.00;0.5;57.62;1.4;0.9
            18 Ceuta;2019;Sectores desconocidos o no especificados;Hombres;100.00;0.0;34.09;0.8;5.0
            19 Melilla;2019;Sectores desconocidos o no especificados;Hombres;100.00;0.0;21.61;2.9;2.4
            01 Andalucía;2018;Formación general, formación básica de adultos y habilidades personales;Hombres;24.37;1.1;59.34;3.4;21.7
            02 Aragón;2018;Formación general, formación básica de adultos y habilidades personales;Hombres;11.70;0.5;51.44;3.1;22.3
            03 Asturias, Principado de;2018;Formación general, formación básica de adultos y habilidades personales;Hombres;15.05;0.4;39.96;4.5;21.9
            04 Balears, Illes;2018;Formación general, formación básica de adultos y habilidades personales;Hombres;14.42;0.7;61.98;1.4;27.7
            05 Canarias;2018;Formación general, formación básica de adultos y habilidades personales;Hombres;19.15;0.3;58.38;2.7;26.5
            06 Cantabria;2018;Formación general, formación básica de adultos y habilidades personales;Hombres;8.29;0.4;48.92;3.7;23.6
            07 Castilla y León;2018;Formación general, formación básica de adultos y habilidades personales;Hombres;11.75;0.6;50.31;2.2;22.3
            08 Castilla - La Mancha;2018;Formación general, formación básica de adultos y habilidades personales;Hombres;16.47;0.8;59.75;2.7;23.7
            09 Cataluña;2018;Formación general, formación básica de adultos y habilidades personales;Hombres;14.21;0.9;55.93;4.7;20.4
            10 Comunitat Valenciana;2018;Formación general, formación básica de adultos y habilidades personales;Hombres;17.88;0.7;56.00;4.1;23.5
            11 Extremadura;2018;Formación general, formación básica de adultos y habilidades personales;Hombres;23.62;0.3;57.74;1.2;20.2
            12 Galicia;2018;Formación general, formación básica de adultos y habilidades personales;Hombres;15.57;0.5;46.42;3.4;19.3
            13 Madrid, Comunidad de;2018;Formación general, formación básica de adultos y habilidades personales;Hombres;18.33;1.1;58.75;8.6;25.5
            14 Murcia, Región de;2018;Formación general, formación básica de adultos y habilidades personales;Hombres;16.92;0.6;61.01;2.0;22.3
            15 Navarra, Comunidad Foral de;2018;Formación general, formación básica de adultos y habilidades personales;Hombres;11.76;0.4;47.68;4.6;11.4
            16 País Vasco;2018;Formación general, formación básica de adultos y habilidades personales;Hombres;15.88;0.4;43.08;4.1;12.7
            17 Rioja, La;2018;Formación general, formación básica de adultos y habilidades personales;Hombres;11.01;0.4;52.01;2.1;20.6
            18 Ceuta;2018;Formación general, formación básica de adultos y habilidades personales;Hombres;37.62;2.0;62.63;1.2;60.0
            19 Melilla;2018;Formación general, formación básica de adultos y habilidades personales;Hombres;22.00;1.9;66.57;3.8;28.5
            01 Andalucía;2018;Educación;Hombres;7.31;6.8;61.28;16.0;4.4
            02 Aragón;2018;Educación;Hombres;3.03;11.3;79.39;20.8;3.0
            03 Asturias, Principado de;2018;Educación;Hombres;0.00;11.2;70.91;27.4;3.2
            04 Balears, Illes;2018;Educación;Hombres;0.00;9.1;53.88;16.5;1.7
            05 Canarias;2018;Educación;Hombres;18.69;9.2;71.54;13.5;4.7
            06 Cantabria;2018;Educación;Hombres;0.00;10.5;60.34;27.2;3.2
            07 Castilla y León;2018;Educación;Hombres;8.48;10.1;52.34;21.3;3.3
            08 Castilla - La Mancha;2018;Educación;Hombres;5.81;6.8;70.71;16.4;3.6
            09 Cataluña;2018;Educación;Hombres;10.66;7.7;67.92;19.2;1.5
            10 Comunitat Valenciana;2018;Educación;Hombres;15.53;8.6;67.38;15.8;3.4
            11 Extremadura;2018;Educación;Hombres;21.40;2.7;77.41;15.3;5.7
            12 Galicia;2018;Educación;Hombres;14.76;6.8;71.48;20.2;2.8
            13 Madrid, Comunidad de;2018;Educación;Hombres;3.17;10.8;83.25;18.0;2.2
            14 Murcia, Región de;2018;Educación;Hombres;5.01;5.5;68.85;12.7;3.2
            15 Navarra, Comunidad Foral de;2018;Educación;Hombres;9.69;10.3;74.52;29.3;1.9
            16 País Vasco;2018;Educación;Hombres;9.25;22.6;79.49;32.6;2.6
            17 Rioja, La;2018;Educación;Hombres;19.86;10.5;63.26;25.7;5.6
            18 Ceuta;2018;Educación;Hombres;0.00;8.7;68.76;2.5;4.4
            19 Melilla;2018;Educación;Hombres;17.54;14.5;80.03;17.7;7.5
            01 Andalucía;2018;Artes, humanidades y lenguas;Hombres;11.42;8.4;74.34;15.6;3.9
            02 Aragón;2018;Artes, humanidades y lenguas;Hombres;18.50;11.8;62.59;23.3;3.8
            03 Asturias, Principado de;2018;Artes, humanidades y lenguas;Hombres;0.00;16.2;56.41;27.5;4.2
            04 Balears, Illes;2018;Artes, humanidades y lenguas;Hombres;8.00;9.1;70.90;18.0;5.9
            05 Canarias;2018;Artes, humanidades y lenguas;Hombres;22.11;6.2;78.68;15.3;2.9
            06 Cantabria;2018;Artes, humanidades y lenguas;Hombres;0.00;15.8;81.68;28.4;2.6
            07 Castilla y León;2018;Artes, humanidades y lenguas;Hombres;0.00;7.8;70.51;23.7;3.9
            08 Castilla - La Mancha;2018;Artes, humanidades y lenguas;Hombres;8.81;6.2;65.43;16.1;4.6
            09 Cataluña;2018;Artes, humanidades y lenguas;Hombres;7.45;8.2;78.93;18.8;6.6
            10 Comunitat Valenciana;2018;Artes, humanidades y lenguas;Hombres;4.98;9.5;82.12;17.2;3.3
            11 Extremadura;2018;Artes, humanidades y lenguas;Hombres;0.00;4.5;64.23;15.8;2.8
            12 Galicia;2018;Artes, humanidades y lenguas;Hombres;9.78;8.7;80.15;20.2;3.3
            13 Madrid, Comunidad de;2018;Artes, humanidades y lenguas;Hombres;2.85;9.2;66.64;15.5;3.7
            14 Murcia, Región de;2018;Artes, humanidades y lenguas;Hombres;22.30;8.4;65.55;13.9;3.6
            15 Navarra, Comunidad Foral de;2018;Artes, humanidades y lenguas;Hombres;7.08;14.9;76.73;28.4;2.1
            16 País Vasco;2018;Artes, humanidades y lenguas;Hombres;10.82;21.5;78.85;33.9;3.6
            17 Rioja, La;2018;Artes, humanidades y lenguas;Hombres;0.00;8.6;100.00;20.0;2.1
            18 Ceuta;2018;Artes, humanidades y lenguas;Hombres;0.00;0.9;100.00;9.0;2.4
            19 Melilla;2018;Artes, humanidades y lenguas;Hombres;0.00;5.4;100.00;6.8;..
            01 Andalucía;2018;Ciencias sociales, periodismo y documentación;Hombres;13.64;6.8;84.80;14.9;1.5
            02 Aragón;2018;Ciencias sociales, periodismo y documentación;Hombres;14.03;9.8;66.18;21.2;1.8
            03 Asturias, Principado de;2018;Ciencias sociales, periodismo y documentación;Hombres;0.00;15.1;88.41;27.1;3.4
            04 Balears, Illes;2018;Ciencias sociales, periodismo y documentación;Hombres;24.32;7.9;100.00;14.4;2.3
            05 Canarias;2018;Ciencias sociales, periodismo y documentación;Hombres;14.25;6.8;80.65;17.2;0.9
            06 Cantabria;2018;Ciencias sociales, periodismo y documentación;Hombres;0.00;14.0;74.63;26.8;2.6
            07 Castilla y León;2018;Ciencias sociales, periodismo y documentación;Hombres;15.50;8.7;90.64;19.9;2.0
            08 Castilla - La Mancha;2018;Ciencias sociales, periodismo y documentación;Hombres;8.23;4.7;100.00;16.3;2.1
            09 Cataluña;2018;Ciencias sociales, periodismo y documentación;Hombres;3.53;8.4;80.48;19.8;3.0
            10 Comunitat Valenciana;2018;Ciencias sociales, periodismo y documentación;Hombres;16.77;7.7;91.92;16.9;3.4
            11 Extremadura;2018;Ciencias sociales, periodismo y documentación;Hombres;24.84;3.7;93.04;13.5;2.5
            12 Galicia;2018;Ciencias sociales, periodismo y documentación;Hombres;11.67;7.2;73.39;20.5;2.8
            13 Madrid, Comunidad de;2018;Ciencias sociales, periodismo y documentación;Hombres;12.61;10.3;82.06;16.6;3.0
            14 Murcia, Región de;2018;Ciencias sociales, periodismo y documentación;Hombres;24.98;6.2;70.83;15.4;2.9
            15 Navarra, Comunidad Foral de;2018;Ciencias sociales, periodismo y documentación;Hombres;42.92;12.7;100.00;33.0;2.6
            16 País Vasco;2018;Ciencias sociales, periodismo y documentación;Hombres;0.00;20.2;72.73;37.7;2.7
            17 Rioja, La;2018;Ciencias sociales, periodismo y documentación;Hombres;0.00;7.8;68.59;23.3;2.0
            18 Ceuta;2018;Ciencias sociales, periodismo y documentación;Hombres;..;2.2;..;5.8;..
            19 Melilla;2018;Ciencias sociales, periodismo y documentación;Hombres;0.00;4.9;100.00;14.8;1.1
            01 Andalucía;2018; Negocios, administración y derecho;Hombres;10.41;6.1;85.40;14.9;18.3
            02 Aragón;2018; Negocios, administración y derecho;Hombres;2.90;9.8;77.89;24.7;15.1
            03 Asturias, Principado de;2018; Negocios, administración y derecho;Hombres;10.49;13.0;74.48;26.1;13.2
            04 Balears, Illes;2018; Negocios, administración y derecho;Hombres;8.98;7.6;82.74;10.7;12.6
            05 Canarias;2018; Negocios, administración y derecho;Hombres;13.52;5.7;79.72;12.7;12.3
            06 Cantabria;2018; Negocios, administración y derecho;Hombres;8.96;14.8;86.01;27.4;15.4
            07 Castilla y León;2018; Negocios, administración y derecho;Hombres;6.67;8.7;79.88;22.6;13.8
            08 Castilla - La Mancha;2018; Negocios, administración y derecho;Hombres;4.74;4.7;82.75;17.8;13.8
            09 Cataluña;2018; Negocios, administración y derecho;Hombres;8.73;9.1;82.04;17.2;15.9
            10 Comunitat Valenciana;2018; Negocios, administración y derecho;Hombres;10.36;6.6;85.29;17.5;19.0
            11 Extremadura;2018; Negocios, administración y derecho;Hombres;5.25;2.6;83.44;13.5;17.3
            12 Galicia;2018; Negocios, administración y derecho;Hombres;9.77;6.6;80.77;20.5;14.9
            13 Madrid, Comunidad de;2018; Negocios, administración y derecho;Hombres;5.14;8.6;81.89;16.4;19.3
            14 Murcia, Región de;2018; Negocios, administración y derecho;Hombres;11.73;10.1;86.31;14.2;18.0
            15 Navarra, Comunidad Foral de;2018; Negocios, administración y derecho;Hombres;2.27;11.5;81.64;33.0;16.6
            16 País Vasco;2018; Negocios, administración y derecho;Hombres;9.53;18.6;75.55;33.3;13.8
            17 Rioja, La;2018; Negocios, administración y derecho;Hombres;7.21;8.5;85.51;20.4;11.8
            18 Ceuta;2018; Negocios, administración y derecho;Hombres;23.19;6.6;100.00;6.6;8.8
            19 Melilla;2018; Negocios, administración y derecho;Hombres;0.00;7.3;78.27;10.0;13.8
            01 Andalucía;2018;Ciencias naturales, químicas, físicas y matemáticas;Hombres;10.97;6.1;77.17;13.0;3.5
            02 Aragón;2018;Ciencias naturales, químicas, físicas y matemáticas;Hombres;0.00;8.8;77.11;23.9;3.6
            03 Asturias, Principado de;2018;Ciencias naturales, químicas, físicas y matemáticas;Hombres;0.00;12.0;57.15;27.0;3.3
            04 Balears, Illes;2018;Ciencias naturales, químicas, físicas y matemáticas;Hombres;0.00;4.0;100.00;14.7;4.2
            05 Canarias;2018;Ciencias naturales, químicas, físicas y matemáticas;Hombres;11.99;5.7;74.94;14.7;3.0
            06 Cantabria;2018;Ciencias naturales, químicas, físicas y matemáticas;Hombres;0.00;14.8;83.74;21.2;2.7
            07 Castilla y León;2018;Ciencias naturales, químicas, físicas y matemáticas;Hombres;4.95;9.0;64.74;22.5;3.7
            08 Castilla - La Mancha;2018;Ciencias naturales, químicas, físicas y matemáticas;Hombres;10.18;4.6;76.66;13.9;3.6
            09 Cataluña;2018;Ciencias naturales, químicas, físicas y matemáticas;Hombres;3.82;8.2;75.28;18.6;5.4
            10 Comunitat Valenciana;2018;Ciencias naturales, químicas, físicas y matemáticas;Hombres;18.11;6.7;84.87;17.4;3.1
            11 Extremadura;2018;Ciencias naturales, químicas, físicas y matemáticas;Hombres;15.45;3.9;85.21;11.7;3.4
            12 Galicia;2018;Ciencias naturales, químicas, físicas y matemáticas;Hombres;13.68;5.8;72.88;18.4;3.5
            13 Madrid, Comunidad de;2018;Ciencias naturales, químicas, físicas y matemáticas;Hombres;11.66;8.6;71.85;18.1;5.0
            14 Murcia, Región de;2018;Ciencias naturales, químicas, físicas y matemáticas;Hombres;16.25;5.8;89.09;16.6;2.3
            15 Navarra, Comunidad Foral de;2018;Ciencias naturales, químicas, físicas y matemáticas;Hombres;0.00;12.4;90.79;34.6;2.9
            16 País Vasco;2018;Ciencias naturales, químicas, físicas y matemáticas;Hombres;0.00;19.1;62.63;39.5;4.3
            17 Rioja, La;2018;Ciencias naturales, químicas, físicas y matemáticas;Hombres;0.00;8.4;82.11;20.2;4.3
            18 Ceuta;2018;Ciencias naturales, químicas, físicas y matemáticas;Hombres;0.00;4.4;100.00;10.4;4.1
            19 Melilla;2018;Ciencias naturales, químicas, físicas y matemáticas;Hombres;..;1.8;..;14.2;..
            01 Andalucía;2018;Tecnologías de la información y las comunicaciones (TIC);Hombres;15.73;6.8;87.02;13.7;6.4
            02 Aragón;2018;Tecnologías de la información y las comunicaciones (TIC);Hombres;31.00;7.9;82.93;22.3;7.2
            03 Asturias, Principado de;2018;Tecnologías de la información y las comunicaciones (TIC);Hombres;4.33;12.5;91.79;30.4;5.3
            04 Balears, Illes;2018;Tecnologías de la información y las comunicaciones (TIC);Hombres;6.68;6.0;88.58;19.2;5.8
            05 Canarias;2018;Tecnologías de la información y las comunicaciones (TIC);Hombres;8.81;6.5;82.29;14.5;7.7
            06 Cantabria;2018;Tecnologías de la información y las comunicaciones (TIC);Hombres;15.17;13.9;84.90;25.4;5.6
            07 Castilla y León;2018;Tecnologías de la información y las comunicaciones (TIC);Hombres;11.77;6.7;94.13;20.3;6.2
            08 Castilla - La Mancha;2018;Tecnologías de la información y las comunicaciones (TIC);Hombres;11.82;5.0;95.29;16.6;6.0
            09 Cataluña;2018;Tecnologías de la información y las comunicaciones (TIC);Hombres;4.22;8.6;93.91;18.6;7.1
            10 Comunitat Valenciana;2018;Tecnologías de la información y las comunicaciones (TIC);Hombres;7.48;6.9;83.93;18.7;5.6
            11 Extremadura;2018;Tecnologías de la información y las comunicaciones (TIC);Hombres;0.00;1.9;86.93;12.6;5.6
            12 Galicia;2018;Tecnologías de la información y las comunicaciones (TIC);Hombres;7.59;6.4;87.35;19.0;7.4
            13 Madrid, Comunidad de;2018;Tecnologías de la información y las comunicaciones (TIC);Hombres;8.53;9.6;86.98;15.5;11.7
            14 Murcia, Región de;2018;Tecnologías de la información y las comunicaciones (TIC);Hombres;31.10;5.4;89.53;14.9;6.9
            15 Navarra, Comunidad Foral de;2018;Tecnologías de la información y las comunicaciones (TIC);Hombres;0.00;15.1;83.73;32.0;4.1
            16 País Vasco;2018;Tecnologías de la información y las comunicaciones (TIC);Hombres;9.21;18.2;88.86;33.1;5.7
            17 Rioja, La;2018;Tecnologías de la información y las comunicaciones (TIC);Hombres;0.00;8.3;82.06;22.7;7.4
            18 Ceuta;2018;Tecnologías de la información y las comunicaciones (TIC);Hombres;0.00;6.9;100.00;11.0;0.0
            19 Melilla;2018;Tecnologías de la información y las comunicaciones (TIC);Hombres;..;3.5;..;6.8;2.8
            01 Andalucía;2018;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;13.59;6.1;78.08;15.1;26.2
            02 Aragón;2018;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;7.18;9.5;82.10;20.7;30.1
            03 Asturias, Principado de;2018;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;12.57;12.4;73.37;27.3;34.1
            04 Balears, Illes;2018;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;8.56;6.8;88.84;12.7;23.5
            05 Canarias;2018;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;16.47;7.0;82.72;14.3;24.0
            06 Cantabria;2018;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;11.35;10.0;69.38;22.9;36.3
            07 Castilla y León;2018;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;5.89;8.2;78.49;23.0;31.9
            08 Castilla - La Mancha;2018;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;10.35;3.1;84.68;14.8;30.3
            09 Cataluña;2018;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;7.21;8.1;81.27;18.9;28.1
            10 Comunitat Valenciana;2018;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;9.17;6.8;81.70;15.9;26.1
            11 Extremadura;2018;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;15.28;2.7;82.87;11.7;28.0
            12 Galicia;2018;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;8.21;6.1;80.30;19.5;31.0
            13 Madrid, Comunidad de;2018;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;6.83;8.4;81.57;16.3;20.1
            14 Murcia, Región de;2018;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;9.74;7.0;84.91;16.0;26.4
            15 Navarra, Comunidad Foral de;2018;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;4.56;11.9;82.45;27.2;43.5
            16 País Vasco;2018;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;5.27;21.6;75.99;36.1;46.5
            17 Rioja, La;2018;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;3.64;9.6;79.38;22.3;37.3
            18 Ceuta;2018;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;0.00;1.3;79.02;9.7;13.7
            19 Melilla;2018;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;11.89;3.7;95.11;8.5;18.6
            01 Andalucía;2018;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;7.85;0.4;82.44;1.2;2.0
            02 Aragón;2018;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;0.00;1.5;91.78;3.7;2.9
            03 Asturias, Principado de;2018;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;27.59;0.4;88.84;3.0;2.2
            04 Balears, Illes;2018;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;67.59;0.3;83.55;1.1;2.2
            05 Canarias;2018;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;30.63;1.0;71.88;1.6;1.6
